Date,topic,content,url
2021-06-08T11:09:33.000Z,Test flights for superfast jets will 'be in the air in just a matter of months': Boom Supersonic CEO,"Boom Supersonic, the company building United Airlines' (UAL) faster than the speed of sound jet, promises to start flying passengers in 2029.  ""We have already built and rolled out history's first independently developed supersonic jet, the XB-1,"" Boom CEO Blake Scholl told Yahoo Finance Live. United announced, last week, it had entered into a $3 billion deal with Boom to purchase 15 of Boom's supersonic airliners, called Overture, at a cost of $200 million each. The jet is designed to carry up to 88 people.   ""We are excited to be delivering Overture to passengers in this decade,"" Scholl said. But the Overture supersonic jet has yet to take off the ground and still only exists on the drawing table. Boom's prototype experimental aircraft called the XB-1 will start test flights later this year. ""That's our prototype for the Overture airliner. It rolled out last fall and it's going to be in the air in just a matter of months,"" Scholl said. The goal is to roll out the first Overture jet in 2025 and begin test flights in 2026. The Overture supersonic passenger jet will also be the first commercial aircraft to be carbon neutral, the first day it takes flight. The plane's engines will be powered by sustainable aviation fuel (SAF), which is derived from cooking oil. The SAF will allow the Overture to hit speeds around mach 1.7, twice as fast as today's passenger jets, without polluting the atmosphere. ""We've already run XB-1's engines on one of the highest blends of alternative fuels ever used,"" Scholl said, adding that test results for XB-1 engines, powered by sustainable fuel, showed greater performance than current jet fuel blends. ""So that means that the airplane that you most want to be on, from a speed and comfort and convenience perspective, is also the one that's the best for the planet. And that's really, really exciting,"" Scholl said.               ",https://finance.yahoo.com/news/test-flights-for-superfast-jets-will-be-in-the-air-in-just-a-matter-of-months-boom-supersonic-ceo-110933170.html
2021-06-08T16:39:04.000Z,"Airline Stock Roundup: DAL's Bullish Q2 Revenue Update, GOL's Traffic & More","With air-travel demand for leisure on an upswing in the United States, management at Delta Air Lines DAL gave an improved outlook for the June-quarter revenues. Also, riding on this bullish sentiment surrounding air-travel demand, American Airlines AAL authorities stated that its seven-day moving average of net bookings (as of Jun 2) was approximately 90% of the level in the comparable period of 2019. Notably, United Airlines UAL and Hawaiian Holdings HA had issued upbeat updates for the second quarter owing to betterment in air-travel demand as discussed in detail in the previous week’s writeup. In another encouraging development, Brazilian carrier Gol Linhas’ GOL May traffic surged 65% from its April reading as the increased rate of vaccinations prompts people to opt for more air travel. 1.At the Bernstein Strategic Decisions Conference, Delta, currently carrying a Zacks Rank #3 (Hold), predicted second-quarter revenues (on an adjusted basis) in the $6-6.2 billion range, indicating a 50-52% decline from the second-quarter 2019 actuals. However, this suggests an improvement from the past guidance issued in April, which had projected a 50-55% decline. Owing to the uptick in air-travel demand, load factor (% of seats filled by passengers) and yields are also showing signs of recovery throughout the June quarter. Adding to this optimism, Delta anticipates domestic leisure travel in the current month to be more than 100% restored from the 2019 actuals. Pre-tax loss for the second quarter is now expected in the $1-$1.2 billion range, which again betters the previous estimate of $1-$1.5 billion. You can see the complete list of today’s Zacks #1 Rank (Strong Buy) stocks here. 2.In an SEC filing dated Jun 3, management at American Airlines stated that its domestic load factor in May was around 84% and greater than 88% over the Memorial Day holiday. The airline expects the “strength in bookings to continue through the end of the second quarter and into the third quarter”, provided current demand trends sustain. Moreover, it anticipates “leisure yields to approach or exceed the corresponding 2019 levels during the peak summer travel period.” On a further positive note, American Airlines is seeing a gradual increase in demand among small- and medium-sized enterprises, and some large corporate customers, although business travel demand continues to be suppressed.         ",https://finance.yahoo.com/news/airline-stock-roundup-dals-bullish-163904441.html
2021-06-07T21:45:09.000Z,American Airlines (AAL) Dips More Than Broader Markets: What You Should Know,"In the latest trading session, American Airlines (AAL) closed at $24.25, marking a -0.21% move from the previous day. This change lagged the S&P 500's 0.08% loss on the day. Heading into today, shares of the world's largest airline had gained 10.45% over the past month, outpacing the Transportation sector's gain of 0.53% and the S&P 500's gain of 1.68% in that time. AAL will be looking to display strength as it nears its next earnings release. In that report, analysts expect AAL to post earnings of -$2.45 per share. This would mark year-over-year growth of 68.67%. Meanwhile, our latest consensus estimate is calling for revenue of $7.15 billion, up 340.84% from the prior-year quarter. For the full year, our Zacks Consensus Estimates are projecting earnings of -$8.74 per share and revenue of $28.13 billion, which would represent changes of +55.54% and +62.27%, respectively, from the prior year. Any recent changes to analyst estimates for AAL should also be noted by investors. Recent revisions tend to reflect the latest near-term business trends. As such, positive estimate revisions reflect analyst optimism about the company's business and profitability. Our research shows that these estimate changes are directly correlated with near-term stock prices. To benefit from this, we have developed the Zacks Rank, a proprietary model which takes these estimate changes into account and provides an actionable rating system. The Zacks Rank system, which ranges from #1 (Strong Buy) to #5 (Strong Sell), has an impressive outside-audited track record of outperformance, with #1 stocks generating an average annual return of +25% since 1988. The Zacks Consensus EPS estimate has moved 0.24% lower within the past month. AAL currently has a Zacks Rank of #3 (Hold). The Transportation - Airline industry is part of the Transportation sector. This industry currently has a Zacks Industry Rank of 230, which puts it in the bottom 10% of all 250+ industries.   ",https://finance.yahoo.com/news/american-airlines-aal-dips-more-214509360.html
2021-06-07T15:52:12.000Z,Airline CEOs urge U.S. and UK to 'open the skies',"CEOs from the largest airlines in the U.S. and U.K. urged regulators in both countries Monday to reopen transatlantic travel.   ""Throughout the pandemic, experts have encouraged governments, businesses and the public to follow the science. United and other airlines have done just that,"" said United Airlines (UAL) CEO Scott Kirby. Kirby and other airline executives held a press conference this morning to make the case to reopen what is called the UK-U.S. travel corridor. They called on British Prime Minister Boris Johnson and President Joe Biden to ""open the skies"" during their meeting at the G-7 this coming weekend. ""The millions of travel supported U.S. jobs lost to the pandemic cannot be replaced without the return of international visitors, and the UK is our number one overseas travel market,"" according to U.S. Travel Association President and CEO Roger Dow. Prior to the pandemic, there were more than 30 flights daily between London and U.S. destinations. The association says restricting international travel will cost the U.S. economy $325 billion and more than 1 million jobs by the end of 2021. The United States has barred nearly all non-U.S. citizens who have been in the UK within the last 14 days from entering the country since March 2020. And, most U.S. travelers visiting the UK must quarantine for 10 days upon arrival. Shai Weiss, the CEO of Virgin Atlantic, said the, ""Overly cautious approach fails to reap the benefits of the successful vaccination programs in both the UK and the U.S."" ""Nobody wants to go to Europe to stay in their hotel room for a week or be under quarantine,"" airline industry analyst Bob Harrell told Yahoo Finance last month. The airlines are calling on regulators to lift entry requirements for UK travelers who can provide a negative COVID-19 test ahead of their arriving in the U.S or present proof they have been fully vaccinated. On the U.K. side they are asking British Prime Minister Boris Johnson to consider easing the testing requirements for travelers entering the UK.                ",https://finance.yahoo.com/news/airline-ce-os-urge-us-and-uk-to-open-the-skies-155212179.html
2021-06-07T21:57:11.000Z,Airline bosses demand UK-US travel corridorBBC,"Airline bosses are urging the US and UK to allow travel to restart ahead of the G7 meeting in Cornwall. The bosses of all airlines that offer UK-US flights and Heathrow Airport issued a joint call for a trans-Atlantic travel ""corridor"" on Monday. The group said it would be ""essential to igniting economic recovery"" in a statement. Nearly all passengers from the UK are currently banned from travelling to the US. Where is on the green list for holiday travel? Travel sector 'frustrated' over rule changes Under a presidential decree introduced last March, non-US citizens who have been in the UK in the last 14 days cannot enter the country unless a specific exemption applies. Meanwhile, travellers from the US to the UK must self-isolate for 10 days on arrival as the country is on the ""amber list"". But airline bosses argued on Monday that because of the speed of the vaccine roll-out in both countries, travel should be allowed to resume. Shai Weiss, the boss of Virgin Atlantic, said: ""There is no reason for the US to be absent from the UK green list. This overly cautious approach fails to reap the benefits of the successful vaccination programmes in both the UK and the US."" Adding the US to the green list would remove the need for quarantine on return to the UK. Passengers would, however, still need to have proof of a negative Covid test result on departure. ""Customers, families and businesses need to book and travel with confidence. After 15 months of restrictions, the time to act is now,"" Mr Weiss added. John Holland-Kaye, chief executive of Heathrow Airport, said: ""Connectivity between the UK and the US is one of the great engines of the global economy."" In a statement, the group estimated that UK businesses are losing £23m each day that trans-Atlantic trade links remain closed ""The scientific data shows transatlantic travel and trade can be reopened safely and every day that policymakers delay puts jobs, livelihoods and the economic chances of hardworking folks across our countries at risk unnecessarily,"" said Mr Holland-Kaye.            ",https://finance.yahoo.com/news/airline-bosses-demand-uk-us-153027863.html
2021-06-07T11:55:29.000Z,Airlines are offering deals as Europe reopens,"""Vive les vacances"" or ""long live holidays"" may become the battle cry of U.S. airlines as they lure COVID-19 pandemic weary Americans with trips to Europe. Delta Air Lines (DAL) just announced it will offer nine times as many flights to Paris starting in July although France is opening to tourists this Wednesday. ""The country will welcome vaccinated travelers beginning June 9 without quarantine requirements,"" according to a Delta press release: ""Passengers must provide proof that they are fully vaccinated with a vaccine approved by the European Medicines Agency as well as present a negative COVID test upon arrival (less than 72 hours for a PCR test or less than 48 hours for an antigen test)."" On June 6, a round-trip ticket on Delta from New York's JFK Airport to Paris Charles de Gaulle Airport, leaving July 2 returning July 9, cost $536 in basic economy and $686 in the main cabin. The extra leg room seats are already sold out. Delta and its partner airlines currently fly to Croatia, France, Greece, Italy, Iceland and Spain.  United Airlines (UAL) flies to those destinations too. The same trip to Paris, leaving from Newark International Airport, will cost you $836 in the main cabin. United added flights to Spain back in April and a round-trip flight to Madrid on those July dates would cost you $822 in the main cabin while Delta is selling those tickets for $664. Flying American Airlines (AAL) to Paris, on those dates from New York, costs $1,200 in the main cabin. But flying from American's Dallas airport hub would only cost $686 in the main cabin. American's main cabin fare from New York to Madrid is $821 but only $671 in basic economy class. United CEO Scott Kirby said international travel used to be a third of United's business but most destinations remain closed. ""And as they're starting to open, we see huge demand,"" Kirby told the Annual Bernstein Strategic Decisions Conference. ""Every time another country in Europe opens up, it's Katy bar the door for bookings and they go through the roof, again indicating huge desire for travel,"" Kirby said.              ",https://finance.yahoo.com/news/airlines-offering-deals-as-europe-reopens-115529673.html
2021-06-07T14:35:00.000Z,Hawaii Sets Plan to Lift All Travel Restrictions Based on Vaccine RatesTravel+Leisure,"The end of Hawaii's travel restrictions is in sight after the state's Gov. David Ige last week laid out a step-by-step plan to lift COVID-19-related travel protocols. Starting June 15, all restrictions on inter-county travel will end and fully-vaccinated residents who received their COVID-19 shots in Hawaii will be able to travel back to the state without the need to get a pre-travel test or quarantine, Ige announced. Kent Nishimura/Los Angeles Times via Getty Images Later, when Hawaii reaches a 60% vaccination rate, the state will lift pre-arrival testing and quarantine requirements for domestic U.S. travelers who were vaccinated in the country. Travelers will have to show proof of their vaccination through the state's Safe Travels program. When Hawaii hits a 70% vaccination rate, the state will lift all travel restrictions and officially end its Safe Travels program, Ige said. ""The easing of travel restrictions is a direct result of our robust vaccination rate, and a community that sacrificed and did what it had to do over the past year and a half to stop the spread of COVID-19,"" Ige said in a statement. ""We need to push hard now so we can get to the point where Safe Travels is no longer needed to keep the people of Hawai'i safe."" So far, about 59% of Hawaii's population has received at least one dose of a vaccine and about 52% have been fully vaccinated, according to Hawaii's Department of Health. That's higher than the country overall where 51.5% of the population has received at least one dose and 41.9% are fully vaccinated, according to the Centers for Disease Control and Prevention. Currently, Hawaii-bound travelers can skip quarantine if they get tested before traveling at a ""trusted partner"" site. Fully vaccinated residents of Hawaii who are hopping from island to island are also exempt from testing and quarantine requirements thanks to the state's inter-island vaccine passport.   ",https://finance.yahoo.com/news/hawaii-sets-plan-lift-travel-143500400.html
2021-06-08T15:57:00.000Z,St Barts to re-open its borders to vacationers on June 9GlobeNewswire,"The island welcomes fully vaccinated visitors St Barthelemy, June 08, 2021 (GLOBE NEWSWIRE) -- Nils Dufau, the President of the St Barths Tourism Committee announced a plan today to re-open the island’s borders to residents of the US and most other countries, effective June 9, 2021. US Residents will be allowed to enter St Barts if they meet these two conditions: Provide proof of being fully vaccinated Provide a negative test result from a PCR test taken no more than three full days prior to arrival (Rapid Antigen tests will also be accepted, from tests no more than two full days prior to arrival) For Residents of the UK & European Union UK & European Unions residents only require a PCR test with 72 hour prior to arrival or Rapid Anti-gen test 48 hours prior to arrival Villa rental agencies and hotels are tasked by the local government with collecting this proof of vaccination from their clients prior to arrival to verify that they meet the requirements for entry. Once a traveler arrives on St Barts they can move about freely, with no restrictions. Villa rental specialist WIMCO has summarized the requirements for entry in its St Barts travel bog. CDC Lowers St Barts Travel Risk advisory from Level 4 to Level 1, June 7, 2021 In related news, As the COVID-19 situation evolves, the CDC is monitoring COVID-19 risk in destinations around the world and making travel recommendations. On June 7 the CDC issued new guidance on St Barts on June 7, reclassifying it as a level one – the lowest level of risk. Where to Stay in St Barts Those visiting St Barts this summer would do well to consider renting a private villa. With spacious open-air living areas, fully equipped kitchens and private pools, travelers vacationing for the first time since the pandemic started might find staying private villa the most comfortable option. WIMCO Villas, which has operated in St. Barths for over thirty-five years, confirms that all 360 private villas it represents on the island are open and available to rent.           ",https://finance.yahoo.com/news/st-barts-open-borders-vacationers-155700981.html
2021-06-04T18:11:20.000Z,Airline Stocks To Buy And Watch As Path To Profitability Emerges: Separate Winners From Losers,https://www.investors.com/research/airline-stocks-to-buy-and-watch/?src=A00220,https://finance.yahoo.com/m/1980108c-5352-3a9b-848e-f251d7abda83/airline-stocks-to-buy-and.html
2021-06-04T15:47:03.000Z,American Airlines (AAL) Slips Despite Upbeat May Bookings,"American Airlines Group AAL has witnessed continued improvement in bookings as more Americans get vaccinated and return to the skies. The airline stated that its seven-day moving average of net bookings (as of Jun 2) was approximately 90% of the level in the comparable period of 2019.

Despite this bullish sentiment, the company did not make commensurate improvements in its second-quarter guidance issued in April. This might have played on investors’ minds, causing shares of American Airlines to decline 3.4% at the close of business on Jun 3.

In a SEC filing dated Jun 3, the carrier stated that its domestic load factor (percentage of seats filled with passengers) in May was around 84% and greater than 88% over the Memorial Day holiday. The airline expects the “strength in bookings to continue through the end of the second quarter and into the third quarter”, provided current demand trends sustain. Moreover, it anticipates “leisure yields to approach or exceed the corresponding 2019 levels during the peak summer travel period.” American Airlines Group Inc. price | American Airlines Group Inc. Quote  On a further positive note, American Airlines is seeing gradual increase in demand among small- and medium-sized enterprises, and some large corporate customers, although business travel demand continues to be suppressed.

Thanks to strong summer bookings, American Airlines, that has burned millions of dollars in cash since the pandemic began, finally generated cash in May. It expects a liquidity of more than $20 billion at the end of the second quarter, compared with its previous guidance of $19.5 billion.

American Airlines maintains its second-quarter system capacity (total available seat miles) forecast at a decline of 20-25% from the comparable 2019 level. Additionally, total revenues are still anticipated to fall approximately 40% from the 2019 level. American Airlines carries a Zacks Rank #3 (Hold). Some better-ranked stocks in the broader Transportation sector are Covenant Logistics Group CVLG, C.H. Robinson Worldwide CHRW and United Parcel Service UPS. While Covenant Logistics and C.H. Robinson sport a Zacks Rank #1 (Strong Buy), UPS carries a Zacks Rank #2 (Buy). You can see the complete list of today’s Zacks #1 Rank stocks here.

Shares of Covenant Logistics, C.H. Robinson and UPS have rallied more than 66%, 15% and 98% in a year’s time, respectively.  ",https://finance.yahoo.com/news/american-airlines-aal-slips-despite-154703620.html
